,country_code,country_name,state_code,state_name,state_abbreviation,municipality_code,municipality_name,population_size,hdi,years,employability_rate
1345,BR,Brasil,25,Paraíba,PB,2506905,Itabaiana,24363,0.613,"[2020, 2019, 2018, 2017, 2016]","[2332, 2286, 2284, 2291, 1915]"
1346,BR,Brasil,25,Paraíba,PB,2507002,Itaporanga,24960,0.615,"[2020, 2019, 2018, 2017, 2016]","[3182, 2919, 3010, 3120, 3167]"
1347,BR,Brasil,25,Paraíba,PB,2507101,Itapororoca,18978,0.564,"[2020, 2019, 2018, 2017, 2016]","[1328, 1201, 1149, 1205, 1074]"
1348,BR,Brasil,25,Paraíba,PB,2507309,Jacaraú,14467,0.5579999999999999,"[2020, 2019, 2018, 2017, 2016]","[1255, 1191, 1317, 1265, 1184]"
1349,BR,Brasil,25,Paraíba,PB,2507408,Jericó,7751,0.603,"[2020, 2019, 2018, 2017, 2016]","[653, 618, 545, 522, 508]"
1350,BR,Brasil,25,Paraíba,PB,2507507,João Pessoa,825796,0.763,"[2020, 2019, 2018, 2017, 2016]","[292533, 296943, 288866, 292793, 300491]"
1351,BR,Brasil,25,Paraíba,PB,2507606,Juarez Távora,8014,0.579,"[2020, 2019, 2018, 2017, 2016]","[562, 489, 535, 537, 525]"
1352,BR,Brasil,25,Paraíba,PB,2507705,Juazeirinho,18422,0.5670000000000001,"[2020, 2019, 2018, 2017, 2016]","[1596, 1546, 1557, 1505, 1404]"
1353,BR,Brasil,25,Paraíba,PB,2507804,Junco do Seridó,7238,0.617,"[2020, 2019, 2018, 2017, 2016]","[707, 680, 676, 731, 719]"
1354,BR,Brasil,25,Paraíba,PB,2507903,Juripiranga,10830,0.5479999999999999,"[2020, 2019, 2018, 2017, 2016]","[918, 985, 892, 902, 965]"
1355,BR,Brasil,25,Paraíba,PB,2508000,Juru,9831,0.57,"[2020, 2019, 2018, 2017, 2016]","[436, 556, 549, 498, 499]"
1356,BR,Brasil,25,Paraíba,PB,2508109,Lagoa,4640,0.563,"[2020, 2019, 2018, 2017, 2016]","[337, 446, 430, 391, 275]"
1357,BR,Brasil,25,Paraíba,PB,2508208,Lagoa de Dentro,7754,0.57,"[2020, 2019, 2018, 2017, 2016]","[630, 631, 618, 609, 581]"
1358,BR,Brasil,25,Paraíba,PB,2508307,Lagoa Seca,27728,0.627,"[2020, 2019, 2018, 2017, 2016]","[2148, 2084, 2040, 2048, 2258]"
1359,BR,Brasil,25,Paraíba,PB,2508406,Lastro,2698,0.5329999999999999,"[2020, 2019, 2018, 2017, 2016]","[275, 293, 309, 292, 181]"
1360,BR,Brasil,25,Paraíba,PB,2508554,Logradouro,4406,0.583,"[2020, 2019, 2018, 2017, 2016]","[315, 313, 302, 291, 235]"
1361,BR,Brasil,25,Paraíba,PB,2508604,Lucena,13344,0.583,"[2020, 2019, 2018, 2017, 2016]","[2073, 2088, 2314, 2233, 2242]"
1362,BR,Brasil,25,Paraíba,PB,2508703,Mãe d'Água,3988,0.542,"[2020, 2019, 2018, 2017, 2016]","[354, 406, 389, 374, 311]"
1363,BR,Brasil,25,Paraíba,PB,2508802,Malta,5745,0.642,"[2020, 2019, 2018, 2017, 2016]","[472, 439, 452, 454, 498]"
1364,BR,Brasil,25,Paraíba,PB,2508901,Mamanguape,45385,0.585,"[2020, 2019, 2018, 2017, 2016]","[7683, 7907, 6919, 7338, 6982]"
1365,BR,Brasil,25,Paraíba,PB,2509008,Manaíra,10988,0.5429999999999999,"[2020, 2019, 2018, 2017, 2016]","[610, 585, 571, 543, 593]"
1366,BR,Brasil,25,Paraíba,PB,2509057,Marcação,8746,0.529,"[2020, 2019, 2018, 2017, 2016]","[570, 527, 501, 582, 389]"
1367,BR,Brasil,25,Paraíba,PB,2509107,Mari,21895,0.5479999999999999,"[2020, 2019, 2018, 2017, 2016]","[1514, 1580, 1454, 1519, 1450]"
1368,BR,Brasil,25,Paraíba,PB,2509156,Marizópolis,6689,0.608,"[2020, 2019, 2018, 2017, 2016]","[514, 541, 663, 642, 731]"
1369,BR,Brasil,25,Paraíba,PB,2509206,Massaranduba,14077,0.5670000000000001,"[2020, 2019, 2018, 2017, 2016]","[790, 772, 793, 707, 835]"
1370,BR,Brasil,25,Paraíba,PB,2509305,Mataraca,8642,0.536,"[2020, 2019, 2018, 2017, 2016]","[1381, 1465, 1435, 1330, 1266]"
1371,BR,Brasil,25,Paraíba,PB,2509339,Matinhas,4528,0.541,"[2020, 2019, 2018, 2017, 2016]","[320, 333, 329, 376, 339]"
