country_code,country_name,state_code,state_name,state_abbreviation,municipality_code,municipality_name,population_size,hdi,years,employability_rate
BR,Brasil,13,Amazonas,AM,1303908,São Paulo de Olivença,40837,0.521,"[2020, 2019, 2018, 2017, 2016]","[1031, 1021, 1916, 1817, 806]"
BR,Brasil,13,Amazonas,AM,1303957,São Sebastião do Uatumã,14678,0.577,"[2020, 2019, 2018, 2017, 2016]","[613, 582, 614, 536, 321]"
BR,Brasil,13,Amazonas,AM,1304005,Silves,9289,0.632,"[2020, 2019, 2018, 2017, 2016]","[654, 524, 492, 528, 379]"
BR,Brasil,21,Maranhão,MA,2102200,Buriti,28916,0.548,"[2020, 2019, 2018, 2017, 2016]","[1098, 1062, 1092, 991, 971]"
BR,Brasil,13,Amazonas,AM,1304062,Tabatinga,68502,0.616,"[2020, 2019, 2018, 2017, 2016]","[4664, 4211, 3432, 2979, 2704]"
BR,Brasil,13,Amazonas,AM,1304104,Tapauá,16876,0.502,"[2020, 2019, 2018, 2017, 2016]","[1332, 1579, 1431, 721, 54]"
BR,Brasil,13,Amazonas,AM,1304203,Tefé,59250,0.639,"[2020, 2019, 2018, 2017, 2016]","[6447, 6085, 7043, 6997, 5540]"
BR,Brasil,13,Amazonas,AM,1304237,Tonantins,19038,0.548,"[2020, 2019, 2018, 2017, 2016]","[900, 1005, 910, 987, 537]"
BR,Brasil,13,Amazonas,AM,1304260,Uarini,13839,0.527,"[2020, 2019, 2018, 2017, 2016]","[911, 851, 770, 767, 343]"
BR,Brasil,13,Amazonas,AM,1304302,Urucará,16007,0.62,"[2020, 2019, 2018, 2017, 2016]","[1224, 830, 825, 882, 851]"
BR,Brasil,13,Amazonas,AM,1304401,Urucurituba,24098,0.588,"[2020, 2019, 2018, 2017, 2016]","[1160, 1001, 917, 755, 522]"
BR,Brasil,14,Roraima,RR,1400027,Amajari,13561,0.484,"[2020, 2019, 2018, 2017, 2016]","[523, 510, 525, 737, 576]"
BR,Brasil,14,Roraima,RR,1400050,Alto Alegre,15249,0.542,"[2020, 2019, 2018, 2017, 2016]","[890, 837, 881, 924, 683]"
BR,Brasil,14,Roraima,RR,1400100,Boa Vista,436591,0.752,"[2020, 2019, 2018, 2017, 2016]","[96714, 95540, 96171, 97335, 93053]"
BR,Brasil,14,Roraima,RR,1400159,Bonfim,12701,0.626,"[2020, 2019, 2018, 2017, 2016]","[969, 928, 773, 815, 686]"
BR,Brasil,14,Roraima,RR,1400175,Cantá,19257,0.619,"[2020, 2019, 2018, 2017, 2016]","[1602, 1193, 1045, 1109, 405]"
BR,Brasil,14,Roraima,RR,1400209,Caracaraí,22635,0.624,"[2020, 2019, 2018, 2017, 2016]","[1528, 1516, 1446, 1563, 1297]"
BR,Brasil,14,Roraima,RR,1400233,Caroebe,10595,0.639,"[2020, 2019, 2018, 2017, 2016]","[599, 585, 537, 515, 550]"
BR,Brasil,14,Roraima,RR,1400282,Iracema,12637,0.582,"[2020, 2019, 2018, 2017, 2016]","[705, 517, 544, 628, 304]"
BR,Brasil,14,Roraima,RR,1400506,São João da Baliza,8492,0.655,"[2020, 2019, 2018, 2017, 2016]","[1088, 857, 702, 629, 625]"
BR,Brasil,14,Roraima,RR,1400605,São Luiz,8232,0.649,"[2020, 2019, 2018, 2017, 2016]","[565, 692, 622, 571, 409]"
BR,Brasil,14,Roraima,RR,1400704,Uiramutã,11014,0.453,"[2020, 2019, 2018, 2017, 2016]","[437, 286, 265, 186, 136]"
BR,Brasil,15,Pará,PA,1500107,Abaetetuba,160439,0.628,"[2020, 2019, 2018, 2017, 2016]","[12490, 11826, 11542, 11075, 10262]"
BR,Brasil,15,Pará,PA,1500131,Abel Figueiredo,7536,0.622,"[2020, 2019, 2018, 2017, 2016]","[765, 800, 798, 631, 573]"
BR,Brasil,15,Pará,PA,1500206,Acará,55744,0.506,"[2020, 2019, 2018, 2017, 2016]","[5315, 4849, 4938, 5111, 4316]"
BR,Brasil,22,Piauí,PI,2203800,Flores do Piauí,4461,0.547,"[2020, 2019, 2018, 2017, 2016]","[334, 398, 398, 374, 267]"
BR,Brasil,15,Pará,PA,1500305,Afuá,39910,0.489,"[2020, 2019, 2018, 2017, 2016]","[2463, 2548, 2501, 2506, 2232]"
BR,Brasil,15,Pará,PA,1500347,Água Azul do Norte,27797,0.564,"[2020, 2019, 2018, 2017, 2016]","[1612, 1532, 1361, 1572, 1554]"
BR,Brasil,15,Pará,PA,1500404,Alenquer,57390,0.564,"[2020, 2019, 2018, 2017, 2016]","[3161, 3098, 3103, 3213, 2670]"
BR,Brasil,15,Pará,PA,1500503,Almeirim,34044,0.642,"[2020, 2019, 2018, 2017, 2016]","[4829, 4093, 4662, 4666, 5125]"
BR,Brasil,15,Pará,PA,1500602,Altamira,117320,0.665,"[2020, 2019, 2018, 2017, 2016]","[15552, 18500, 20043, 19031, 21046]"
BR,Brasil,15,Pará,PA,1500701,Anajás,30091,0.484,"[2020, 2019, 2018, 2017, 2016]","[2104, 1340, 1395, 1316, 1187]"
BR,Brasil,15,Pará,PA,1500800,Ananindeua,540410,0.718,"[2020, 2019, 2018, 2017, 2016]","[73095, 72508, 69107, 70514, 66269]"
